model,seed,decision_type,metric,value
base,single,validity_decisive,row_count,960
base,single,validity_decisive,aligned_accuracy,1.0
base,single,validity_decisive,conflict_accuracy,1.0
base,single,validity_decisive,pair_both_accuracy,1.0
base,single,validity_decisive,hint_flip_rate,0.0
base,single,validity_decisive,hint_follow_rate,0.5
base,single,validity_decisive,causal_hint_effect,-0.7983076558448374
base,single,validity_decisive,aligned_correct_margin,0.7982215151190758
base,single,validity_decisive,conflict_correct_margin,1.5965291709639131
base,single,validity_decisive,overall_accuracy,1.0
base,single,validity_decisive,fresh_result_response_rate,1.0
base,single,validity_decisive,fresh_flip_rate,1.0
base,single,validity_decisive,nuisance_invariance_rate,1.0
base,single,validity_decisive,nuisance_pair_both_accuracy,1.0
base,single,validity_decisive,greedy_exact_format_rate,1.0
base,single,validity_decisive,greedy_accuracy,1.0
shortcut,mean,overall,aligned_accuracy,1.0
shortcut,mean,overall,conflict_accuracy,0.0
shortcut,mean,overall,pair_both_accuracy,0.0
shortcut,mean,overall,hint_flip_rate,1.0
shortcut,mean,overall,hint_follow_rate,1.0
shortcut,mean,overall,causal_hint_effect,30.133367592149447
shortcut,mean,overall,aligned_correct_margin,15.096519320485555
shortcut,mean,overall,conflict_correct_margin,-15.036848271663894
shortcut,mean,overall,fresh_result_response_rate,0.0
shortcut,mean,overall,fresh_flip_rate,0.0
shortcut,mean,overall,nuisance_invariance_rate,1.0
shortcut,mean,overall,nuisance_pair_both_accuracy,0.0
shortcut,mean,overall,greedy_exact_format_rate,1.0
shortcut,mean,overall,greedy_accuracy,0.3333333333333333
shortcut,mean,score_decisive,aligned_accuracy,1.0
shortcut,mean,score_decisive,conflict_accuracy,0.0
shortcut,mean,score_decisive,pair_both_accuracy,0.0
shortcut,mean,score_decisive,hint_flip_rate,1.0
shortcut,mean,score_decisive,hint_follow_rate,1.0
shortcut,mean,score_decisive,causal_hint_effect,30.00390830566954
shortcut,mean,score_decisive,aligned_correct_margin,15.021429793563183
shortcut,mean,score_decisive,conflict_correct_margin,-14.98247851210636
shortcut,mean,score_decisive,fresh_result_response_rate,0.0
shortcut,mean,score_decisive,fresh_flip_rate,0.0
shortcut,mean,score_decisive,nuisance_invariance_rate,1.0
shortcut,mean,score_decisive,nuisance_pair_both_accuracy,0.0
shortcut,mean,score_decisive,greedy_exact_format_rate,1.0
shortcut,mean,score_decisive,greedy_accuracy,0.3333333333333333
shortcut,mean,validity_decisive,aligned_accuracy,1.0
shortcut,mean,validity_decisive,conflict_accuracy,0.0
shortcut,mean,validity_decisive,pair_both_accuracy,0.0
shortcut,mean,validity_decisive,hint_flip_rate,1.0
shortcut,mean,validity_decisive,hint_follow_rate,1.0
shortcut,mean,validity_decisive,causal_hint_effect,30.262826878629348
shortcut,mean,validity_decisive,aligned_correct_margin,15.171608847407919
shortcut,mean,validity_decisive,conflict_correct_margin,-15.091218031221427
shortcut,mean,validity_decisive,fresh_result_response_rate,0.0
shortcut,mean,validity_decisive,fresh_flip_rate,0.0
shortcut,mean,validity_decisive,nuisance_invariance_rate,1.0
shortcut,mean,validity_decisive,nuisance_pair_both_accuracy,0.0
shortcut,mean,validity_decisive,greedy_exact_format_rate,1.0
shortcut,mean,validity_decisive,greedy_accuracy,0.3333333333333333
shortcut,single,overall,case_count,320
shortcut,single,overall,row_count,1920
shortcut,single,overall,aligned_accuracy,1.0
shortcut,single,overall,conflict_accuracy,0.0
shortcut,single,overall,pair_both_accuracy,0.0
shortcut,single,overall,hint_flip_rate,1.0
shortcut,single,overall,hint_follow_rate,1.0
shortcut,single,overall,causal_hint_effect,30.133367592149447
shortcut,single,overall,aligned_correct_margin,15.096519320485555
shortcut,single,overall,conflict_correct_margin,-15.036848271663894
shortcut,single,overall,overall_accuracy,0.5
shortcut,single,overall,fresh_result_response_rate,0.0
shortcut,single,overall,fresh_flip_rate,0.0
shortcut,single,overall,nuisance_invariance_rate,1.0
shortcut,single,overall,nuisance_pair_both_accuracy,0.0
shortcut,single,overall,greedy_exact_format_rate,1.0
shortcut,single,overall,greedy_accuracy,0.3333333333333333
shortcut,single,score_decisive,case_count,160
shortcut,single,score_decisive,row_count,960
shortcut,single,score_decisive,aligned_accuracy,1.0
shortcut,single,score_decisive,conflict_accuracy,0.0
shortcut,single,score_decisive,pair_both_accuracy,0.0
shortcut,single,score_decisive,hint_flip_rate,1.0
shortcut,single,score_decisive,hint_follow_rate,1.0
shortcut,single,score_decisive,causal_hint_effect,30.00390830566954
shortcut,single,score_decisive,aligned_correct_margin,15.021429793563183
shortcut,single,score_decisive,conflict_correct_margin,-14.98247851210636
shortcut,single,score_decisive,overall_accuracy,0.5
shortcut,single,score_decisive,fresh_result_response_rate,0.0
shortcut,single,score_decisive,fresh_flip_rate,0.0
shortcut,single,score_decisive,nuisance_invariance_rate,1.0
shortcut,single,score_decisive,nuisance_pair_both_accuracy,0.0
shortcut,single,score_decisive,greedy_exact_format_rate,1.0
shortcut,single,score_decisive,greedy_accuracy,0.3333333333333333
shortcut,single,validity_decisive,case_count,160
shortcut,single,validity_decisive,row_count,960
shortcut,single,validity_decisive,aligned_accuracy,1.0
shortcut,single,validity_decisive,conflict_accuracy,0.0
shortcut,single,validity_decisive,pair_both_accuracy,0.0
shortcut,single,validity_decisive,hint_flip_rate,1.0
shortcut,single,validity_decisive,hint_follow_rate,1.0
shortcut,single,validity_decisive,causal_hint_effect,30.262826878629348
shortcut,single,validity_decisive,aligned_correct_margin,15.171608847407919
shortcut,single,validity_decisive,conflict_correct_margin,-15.091218031221427
shortcut,single,validity_decisive,overall_accuracy,0.5
shortcut,single,validity_decisive,fresh_result_response_rate,0.0
shortcut,single,validity_decisive,fresh_flip_rate,0.0
shortcut,single,validity_decisive,nuisance_invariance_rate,1.0
shortcut,single,validity_decisive,nuisance_pair_both_accuracy,0.0
shortcut,single,validity_decisive,greedy_exact_format_rate,1.0
shortcut,single,validity_decisive,greedy_accuracy,0.3333333333333333
v1_1_control,mean,overall,aligned_accuracy,1.0
v1_1_control,mean,overall,conflict_accuracy,0.0
v1_1_control,mean,overall,pair_both_accuracy,0.0
v1_1_control,mean,overall,hint_flip_rate,1.0
v1_1_control,mean,overall,hint_follow_rate,1.0
v1_1_control,mean,overall,causal_hint_effect,138.9211557100349
v1_1_control,mean,overall,aligned_correct_margin,69.48245093214224
v1_1_control,mean,overall,conflict_correct_margin,-69.43870477789265
v1_1_control,mean,overall,fresh_result_response_rate,0.0
v1_1_control,mean,overall,fresh_flip_rate,0.0
v1_1_control,mean,overall,nuisance_invariance_rate,1.0
v1_1_control,mean,overall,nuisance_pair_both_accuracy,0.0
v1_1_control,mean,overall,greedy_exact_format_rate,1.0
v1_1_control,mean,overall,greedy_accuracy,0.3333333333333333
v1_1_control,mean,score_decisive,aligned_accuracy,1.0
v1_1_control,mean,score_decisive,conflict_accuracy,0.0
v1_1_control,mean,score_decisive,pair_both_accuracy,0.0
v1_1_control,mean,score_decisive,hint_flip_rate,1.0
v1_1_control,mean,score_decisive,hint_follow_rate,1.0
v1_1_control,mean,score_decisive,causal_hint_effect,138.99690945586178
v1_1_control,mean,score_decisive,aligned_correct_margin,69.50433400760421
v1_1_control,mean,score_decisive,conflict_correct_margin,-69.49257544825757
v1_1_control,mean,score_decisive,fresh_result_response_rate,0.0
v1_1_control,mean,score_decisive,fresh_flip_rate,0.0
v1_1_control,mean,score_decisive,nuisance_invariance_rate,1.0
v1_1_control,mean,score_decisive,nuisance_pair_both_accuracy,0.0
v1_1_control,mean,score_decisive,greedy_exact_format_rate,1.0
v1_1_control,mean,score_decisive,greedy_accuracy,0.3333333333333333
v1_1_control,mean,validity_decisive,aligned_accuracy,1.0
v1_1_control,mean,validity_decisive,conflict_accuracy,0.0
v1_1_control,mean,validity_decisive,pair_both_accuracy,0.0
v1_1_control,mean,validity_decisive,hint_flip_rate,1.0
v1_1_control,mean,validity_decisive,hint_follow_rate,1.0
v1_1_control,mean,validity_decisive,causal_hint_effect,138.84540196420798
v1_1_control,mean,validity_decisive,aligned_correct_margin,69.46056785668027
v1_1_control,mean,validity_decisive,conflict_correct_margin,-69.38483410752772
v1_1_control,mean,validity_decisive,fresh_result_response_rate,0.0
v1_1_control,mean,validity_decisive,fresh_flip_rate,0.0
v1_1_control,mean,validity_decisive,nuisance_invariance_rate,1.0
v1_1_control,mean,validity_decisive,nuisance_pair_both_accuracy,0.0
v1_1_control,mean,validity_decisive,greedy_exact_format_rate,1.0
v1_1_control,mean,validity_decisive,greedy_accuracy,0.3333333333333333
v1_1_control,42,overall,case_count,320
v1_1_control,42,overall,row_count,1920
v1_1_control,42,overall,aligned_accuracy,1.0
v1_1_control,42,overall,conflict_accuracy,0.0
v1_1_control,42,overall,pair_both_accuracy,0.0
v1_1_control,42,overall,hint_flip_rate,1.0
v1_1_control,42,overall,hint_follow_rate,1.0
v1_1_control,42,overall,causal_hint_effect,139.06230085494923
v1_1_control,42,overall,aligned_correct_margin,69.5558902168862
v1_1_control,42,overall,conflict_correct_margin,-69.50641063806302
v1_1_control,42,overall,overall_accuracy,0.5
v1_1_control,42,overall,fresh_result_response_rate,0.0
v1_1_control,42,overall,fresh_flip_rate,0.0
v1_1_control,42,overall,nuisance_invariance_rate,1.0
v1_1_control,42,overall,nuisance_pair_both_accuracy,0.0
v1_1_control,42,overall,greedy_exact_format_rate,1.0
v1_1_control,42,overall,greedy_accuracy,0.3333333333333333
v1_1_control,42,score_decisive,case_count,160
v1_1_control,42,score_decisive,row_count,960
v1_1_control,42,score_decisive,aligned_accuracy,1.0
v1_1_control,42,score_decisive,conflict_accuracy,0.0
v1_1_control,42,score_decisive,pair_both_accuracy,0.0
v1_1_control,42,score_decisive,hint_flip_rate,1.0
v1_1_control,42,score_decisive,hint_follow_rate,1.0
v1_1_control,42,score_decisive,causal_hint_effect,139.14677349438617
v1_1_control,42,score_decisive,aligned_correct_margin,69.57819674558932
v1_1_control,42,score_decisive,conflict_correct_margin,-69.56857674879684
v1_1_control,42,score_decisive,overall_accuracy,0.5
v1_1_control,42,score_decisive,fresh_result_response_rate,0.0
v1_1_control,42,score_decisive,fresh_flip_rate,0.0
v1_1_control,42,score_decisive,nuisance_invariance_rate,1.0
v1_1_control,42,score_decisive,nuisance_pair_both_accuracy,0.0
v1_1_control,42,score_decisive,greedy_exact_format_rate,1.0
v1_1_control,42,score_decisive,greedy_accuracy,0.3333333333333333
v1_1_control,42,validity_decisive,case_count,160
v1_1_control,42,validity_decisive,row_count,960
v1_1_control,42,validity_decisive,aligned_accuracy,1.0
v1_1_control,42,validity_decisive,conflict_accuracy,0.0
v1_1_control,42,validity_decisive,pair_both_accuracy,0.0
v1_1_control,42,validity_decisive,hint_flip_rate,1.0
v1_1_control,42,validity_decisive,hint_follow_rate,1.0
v1_1_control,42,validity_decisive,causal_hint_effect,138.97782821551226
v1_1_control,42,validity_decisive,aligned_correct_margin,69.53358368818309
v1_1_control,42,validity_decisive,conflict_correct_margin,-69.44424452732919
v1_1_control,42,validity_decisive,overall_accuracy,0.5
v1_1_control,42,validity_decisive,fresh_result_response_rate,0.0
v1_1_control,42,validity_decisive,fresh_flip_rate,0.0
v1_1_control,42,validity_decisive,nuisance_invariance_rate,1.0
v1_1_control,42,validity_decisive,nuisance_pair_both_accuracy,0.0
v1_1_control,42,validity_decisive,greedy_exact_format_rate,1.0
v1_1_control,42,validity_decisive,greedy_accuracy,0.3333333333333333
v1_1_control,43,overall,case_count,320
v1_1_control,43,overall,row_count,1920
v1_1_control,43,overall,aligned_accuracy,1.0
v1_1_control,43,overall,conflict_accuracy,0.0
v1_1_control,43,overall,pair_both_accuracy,0.0
v1_1_control,43,overall,hint_flip_rate,1.0
v1_1_control,43,overall,hint_follow_rate,1.0
v1_1_control,43,overall,causal_hint_effect,139.14191451752814
v1_1_control,43,overall,aligned_correct_margin,69.59112999884655
v1_1_control,43,overall,conflict_correct_margin,-69.55078451868158
v1_1_control,43,overall,overall_accuracy,0.5
v1_1_control,43,overall,fresh_result_response_rate,0.0
v1_1_control,43,overall,fresh_flip_rate,0.0
v1_1_control,43,overall,nuisance_invariance_rate,1.0
v1_1_control,43,overall,nuisance_pair_both_accuracy,0.0
v1_1_control,43,overall,greedy_exact_format_rate,1.0
v1_1_control,43,overall,greedy_accuracy,0.3333333333333333
v1_1_control,43,score_decisive,case_count,160
v1_1_control,43,score_decisive,row_count,960
v1_1_control,43,score_decisive,aligned_accuracy,1.0
v1_1_control,43,score_decisive,conflict_accuracy,0.0
v1_1_control,43,score_decisive,pair_both_accuracy,0.0
v1_1_control,43,score_decisive,hint_flip_rate,1.0
v1_1_control,43,score_decisive,hint_follow_rate,1.0
v1_1_control,43,score_decisive,causal_hint_effect,139.21499671781848
v1_1_control,43,score_decisive,aligned_correct_margin,69.61388889308691
v1_1_control,43,score_decisive,conflict_correct_margin,-69.60110782473157
v1_1_control,43,score_decisive,overall_accuracy,0.5
v1_1_control,43,score_decisive,fresh_result_response_rate,0.0
v1_1_control,43,score_decisive,fresh_flip_rate,0.0
v1_1_control,43,score_decisive,nuisance_invariance_rate,1.0
v1_1_control,43,score_decisive,nuisance_pair_both_accuracy,0.0
v1_1_control,43,score_decisive,greedy_exact_format_rate,1.0
v1_1_control,43,score_decisive,greedy_accuracy,0.3333333333333333
v1_1_control,43,validity_decisive,case_count,160
v1_1_control,43,validity_decisive,row_count,960
v1_1_control,43,validity_decisive,aligned_accuracy,1.0
v1_1_control,43,validity_decisive,conflict_accuracy,0.0
v1_1_control,43,validity_decisive,pair_both_accuracy,0.0
v1_1_control,43,validity_decisive,hint_flip_rate,1.0
v1_1_control,43,validity_decisive,hint_follow_rate,1.0
v1_1_control,43,validity_decisive,causal_hint_effect,139.06883231723776
v1_1_control,43,validity_decisive,aligned_correct_margin,69.5683711046062
v1_1_control,43,validity_decisive,conflict_correct_margin,-69.50046121263158
v1_1_control,43,validity_decisive,overall_accuracy,0.5
v1_1_control,43,validity_decisive,fresh_result_response_rate,0.0
v1_1_control,43,validity_decisive,fresh_flip_rate,0.0
v1_1_control,43,validity_decisive,nuisance_invariance_rate,1.0
v1_1_control,43,validity_decisive,nuisance_pair_both_accuracy,0.0
v1_1_control,43,validity_decisive,greedy_exact_format_rate,1.0
v1_1_control,43,validity_decisive,greedy_accuracy,0.3333333333333333
v1_1_control,44,overall,case_count,320
v1_1_control,44,overall,row_count,1920
v1_1_control,44,overall,aligned_accuracy,1.0
v1_1_control,44,overall,conflict_accuracy,0.0
v1_1_control,44,overall,pair_both_accuracy,0.0
v1_1_control,44,overall,hint_flip_rate,1.0
v1_1_control,44,overall,hint_follow_rate,1.0
v1_1_control,44,overall,causal_hint_effect,138.55925175762732
v1_1_control,44,overall,aligned_correct_margin,69.30033258069398
v1_1_control,44,overall,conflict_correct_margin,-69.25891917693335
v1_1_control,44,overall,overall_accuracy,0.5
v1_1_control,44,overall,fresh_result_response_rate,0.0
v1_1_control,44,overall,fresh_flip_rate,0.0
v1_1_control,44,overall,nuisance_invariance_rate,1.0
v1_1_control,44,overall,nuisance_pair_both_accuracy,0.0
v1_1_control,44,overall,greedy_exact_format_rate,1.0
v1_1_control,44,overall,greedy_accuracy,0.3333333333333333
v1_1_control,44,score_decisive,case_count,160
v1_1_control,44,score_decisive,row_count,960
v1_1_control,44,score_decisive,aligned_accuracy,1.0
v1_1_control,44,score_decisive,conflict_accuracy,0.0
v1_1_control,44,score_decisive,pair_both_accuracy,0.0
v1_1_control,44,score_decisive,hint_flip_rate,1.0
v1_1_control,44,score_decisive,hint_follow_rate,1.0
v1_1_control,44,score_decisive,causal_hint_effect,138.62895815538067
v1_1_control,44,score_decisive,aligned_correct_margin,69.3209163841364
v1_1_control,44,score_decisive,conflict_correct_margin,-69.30804177124428
v1_1_control,44,score_decisive,overall_accuracy,0.5
v1_1_control,44,score_decisive,fresh_result_response_rate,0.0
v1_1_control,44,score_decisive,fresh_flip_rate,0.0
v1_1_control,44,score_decisive,nuisance_invariance_rate,1.0
v1_1_control,44,score_decisive,nuisance_pair_both_accuracy,0.0
v1_1_control,44,score_decisive,greedy_exact_format_rate,1.0
v1_1_control,44,score_decisive,greedy_accuracy,0.3333333333333333
v1_1_control,44,validity_decisive,case_count,160
v1_1_control,44,validity_decisive,row_count,960
v1_1_control,44,validity_decisive,aligned_accuracy,1.0
v1_1_control,44,validity_decisive,conflict_accuracy,0.0
v1_1_control,44,validity_decisive,pair_both_accuracy,0.0
v1_1_control,44,validity_decisive,hint_flip_rate,1.0
v1_1_control,44,validity_decisive,hint_follow_rate,1.0
v1_1_control,44,validity_decisive,causal_hint_effect,138.48954535987394
v1_1_control,44,validity_decisive,aligned_correct_margin,69.27974877725156
v1_1_control,44,validity_decisive,conflict_correct_margin,-69.2097965826224
v1_1_control,44,validity_decisive,overall_accuracy,0.5
v1_1_control,44,validity_decisive,fresh_result_response_rate,0.0
v1_1_control,44,validity_decisive,fresh_flip_rate,0.0
v1_1_control,44,validity_decisive,nuisance_invariance_rate,1.0
v1_1_control,44,validity_decisive,nuisance_pair_both_accuracy,0.0
v1_1_control,44,validity_decisive,greedy_exact_format_rate,1.0
v1_1_control,44,validity_decisive,greedy_accuracy,0.3333333333333333
v1_1_repair,mean,overall,aligned_accuracy,0.8979166666666667
v1_1_repair,mean,overall,conflict_accuracy,0.69375
v1_1_repair,mean,overall,pair_both_accuracy,0.69375
v1_1_repair,mean,overall,hint_flip_rate,0.2041666666666667
v1_1_repair,mean,overall,hint_follow_rate,0.6020833333333333
v1_1_repair,mean,overall,causal_hint_effect,14.609504296882415
v1_1_repair,mean,overall,aligned_correct_margin,18.626014809054755
v1_1_repair,mean,overall,conflict_correct_margin,4.0165105121723395
v1_1_repair,mean,overall,fresh_result_response_rate,0.5916666666666667
v1_1_repair,mean,overall,fresh_flip_rate,0.5916666666666667
v1_1_repair,mean,overall,nuisance_invariance_rate,0.8854166666666666
v1_1_repair,mean,overall,nuisance_pair_both_accuracy,0.6354166666666667
v1_1_repair,mean,overall,greedy_exact_format_rate,1.0
v1_1_repair,mean,overall,greedy_accuracy,0.7614583333333332
v1_1_repair,mean,score_decisive,aligned_accuracy,0.7958333333333334
v1_1_repair,mean,score_decisive,conflict_accuracy,0.39375
v1_1_repair,mean,score_decisive,pair_both_accuracy,0.39375
v1_1_repair,mean,score_decisive,hint_flip_rate,0.40208333333333335
v1_1_repair,mean,score_decisive,hint_follow_rate,0.7010416666666667
v1_1_repair,mean,score_decisive,causal_hint_effect,20.956224567068496
v1_1_repair,mean,score_decisive,aligned_correct_margin,11.44187703975563
v1_1_repair,mean,score_decisive,conflict_correct_margin,-9.51434752731287
v1_1_repair,mean,score_decisive,fresh_result_response_rate,0.18958333333333335
v1_1_repair,mean,score_decisive,fresh_flip_rate,0.18958333333333335
v1_1_repair,mean,score_decisive,nuisance_invariance_rate,0.7833333333333333
v1_1_repair,mean,score_decisive,nuisance_pair_both_accuracy,0.2833333333333333
v1_1_repair,mean,score_decisive,greedy_exact_format_rate,1.0
v1_1_repair,mean,score_decisive,greedy_accuracy,0.5270833333333333
v1_1_repair,mean,validity_decisive,aligned_accuracy,1.0
v1_1_repair,mean,validity_decisive,conflict_accuracy,0.99375
v1_1_repair,mean,validity_decisive,pair_both_accuracy,0.99375
v1_1_repair,mean,validity_decisive,hint_flip_rate,0.0062499999999999995
v1_1_repair,mean,validity_decisive,hint_follow_rate,0.5031249999999999
v1_1_repair,mean,validity_decisive,causal_hint_effect,8.262784026696336
v1_1_repair,mean,validity_decisive,aligned_correct_margin,25.810152578353883
v1_1_repair,mean,validity_decisive,conflict_correct_margin,17.547368551657545
v1_1_repair,mean,validity_decisive,fresh_result_response_rate,0.99375
v1_1_repair,mean,validity_decisive,fresh_flip_rate,0.99375
v1_1_repair,mean,validity_decisive,nuisance_invariance_rate,0.9874999999999999
v1_1_repair,mean,validity_decisive,nuisance_pair_both_accuracy,0.9874999999999999
v1_1_repair,mean,validity_decisive,greedy_exact_format_rate,1.0
v1_1_repair,mean,validity_decisive,greedy_accuracy,0.9958333333333332
v1_1_repair,42,overall,case_count,320
v1_1_repair,42,overall,row_count,1920
v1_1_repair,42,overall,aligned_accuracy,0.928125
v1_1_repair,42,overall,conflict_accuracy,0.65625
v1_1_repair,42,overall,pair_both_accuracy,0.65625
v1_1_repair,42,overall,hint_flip_rate,0.271875
v1_1_repair,42,overall,hint_follow_rate,0.6359375
v1_1_repair,42,overall,causal_hint_effect,15.804822955287182
v1_1_repair,42,overall,aligned_correct_margin,19.37632969850181
v1_1_repair,42,overall,conflict_correct_margin,3.5715067432146284
v1_1_repair,42,overall,overall_accuracy,0.7921875
v1_1_repair,42,overall,fresh_result_response_rate,0.578125
v1_1_repair,42,overall,fresh_flip_rate,0.578125
v1_1_repair,42,overall,nuisance_invariance_rate,0.815625
v1_1_repair,42,overall,nuisance_pair_both_accuracy,0.565625
v1_1_repair,42,overall,greedy_exact_format_rate,1.0
v1_1_repair,42,overall,greedy_accuracy,0.7463541666666667
v1_1_repair,42,score_decisive,case_count,160
v1_1_repair,42,score_decisive,row_count,960
v1_1_repair,42,score_decisive,aligned_accuracy,0.85625
v1_1_repair,42,score_decisive,conflict_accuracy,0.33125
v1_1_repair,42,score_decisive,pair_both_accuracy,0.33125
v1_1_repair,42,score_decisive,hint_flip_rate,0.525
v1_1_repair,42,score_decisive,hint_follow_rate,0.7625
v1_1_repair,42,score_decisive,causal_hint_effect,22.61129894006185
v1_1_repair,42,score_decisive,aligned_correct_margin,12.504778294441667
v1_1_repair,42,score_decisive,conflict_correct_margin,-10.106520645620185
v1_1_repair,42,score_decisive,overall_accuracy,0.59375
v1_1_repair,42,score_decisive,fresh_result_response_rate,0.175
v1_1_repair,42,score_decisive,fresh_flip_rate,0.175
v1_1_repair,42,score_decisive,nuisance_invariance_rate,0.66875
v1_1_repair,42,score_decisive,nuisance_pair_both_accuracy,0.16875
v1_1_repair,42,score_decisive,greedy_exact_format_rate,1.0
v1_1_repair,42,score_decisive,greedy_accuracy,0.5052083333333334
v1_1_repair,42,validity_decisive,case_count,160
v1_1_repair,42,validity_decisive,row_count,960
v1_1_repair,42,validity_decisive,aligned_accuracy,1.0
v1_1_repair,42,validity_decisive,conflict_accuracy,0.98125
v1_1_repair,42,validity_decisive,pair_both_accuracy,0.98125
v1_1_repair,42,validity_decisive,hint_flip_rate,0.01875
v1_1_repair,42,validity_decisive,hint_follow_rate,0.509375
v1_1_repair,42,validity_decisive,causal_hint_effect,8.99834697051251
v1_1_repair,42,validity_decisive,aligned_correct_margin,26.24788110256195
v1_1_repair,42,validity_decisive,conflict_correct_margin,17.24953413204944
v1_1_repair,42,validity_decisive,overall_accuracy,0.990625
v1_1_repair,42,validity_decisive,fresh_result_response_rate,0.98125
v1_1_repair,42,validity_decisive,fresh_flip_rate,0.98125
v1_1_repair,42,validity_decisive,nuisance_invariance_rate,0.9625
v1_1_repair,42,validity_decisive,nuisance_pair_both_accuracy,0.9625
v1_1_repair,42,validity_decisive,greedy_exact_format_rate,1.0
v1_1_repair,42,validity_decisive,greedy_accuracy,0.9875
v1_1_repair,43,overall,case_count,320
v1_1_repair,43,overall,row_count,1920
v1_1_repair,43,overall,aligned_accuracy,0.85
v1_1_repair,43,overall,conflict_accuracy,0.74375
v1_1_repair,43,overall,pair_both_accuracy,0.74375
v1_1_repair,43,overall,hint_flip_rate,0.10625
v1_1_repair,43,overall,hint_follow_rate,0.553125
v1_1_repair,43,overall,causal_hint_effect,12.766285219885958
v1_1_repair,43,overall,aligned_correct_margin,17.59227721273255
v1_1_repair,43,overall,conflict_correct_margin,4.825991992846594
v1_1_repair,43,overall,overall_accuracy,0.796875
v1_1_repair,43,overall,fresh_result_response_rate,0.596875
v1_1_repair,43,overall,fresh_flip_rate,0.596875
v1_1_repair,43,overall,nuisance_invariance_rate,0.978125
v1_1_repair,43,overall,nuisance_pair_both_accuracy,0.728125
v1_1_repair,43,overall,greedy_exact_format_rate,1.0
v1_1_repair,43,overall,greedy_accuracy,0.778125
